Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2015-03-16,,-3.0,,,,,,,,,,,348,,85877193,,
2015-03-17,,,,,,12.910785675048828,77.58606719970703,12.911437034606934,77.5865707397461,,,,9753,,73957552,5454651,117989
2015-03-18,,-3.0,,,,,,,,,,,405,,86056632,,
2015-03-19,,,,,,,,,,,,,80,,86400000,,
2015-03-20,,-3.0,,,,,,,,,,,531,,86400000,,
2015-03-21,,,,,,,,,,,,,188,,86400000,,
2015-03-22,,,,,,,,,,,,,126,,86400000,,
2015-03-23,,,,,,,,,,,,,212,,86400000,,
2015-03-24,,,,,,,,,,,,,446,,86400000,,
2015-03-25,,17.0,,,,12.902961730957031,77.58605194091797,12.911396026611328,77.59052276611328,1.0359903573989868,1.2199846506118774,0.8519960045814514,1031,,85643000,160316,
2015-03-26,,-3.0,,,,,,,,,,,293,,80747736,,
2015-03-27,,-3.0,,,,,,,,,,,703,474962,83214630,260101,
2015-03-28,,,,,,,,,,,,,302,,86400000,,
2015-03-29,,,,,,12.790604591369629,77.5049819946289,12.790604591369629,77.5049819946289,,,,1374,,86400000,,
2015-03-30,,-3.0,,,,,,,,,,,2117,,82107769,912049,
2015-03-31,,,,,,,,,,,,,913,,86400000,,
2015-04-01,,,,,,,,,,,,,435,,86400000,,
2015-04-02,,,,,,12.902971267700195,77.59011840820312,12.903436660766602,77.59043884277344,,,,5671,,80323924,3140259,
2015-04-03,,76.0,,,,12.900711059570312,77.58577728271484,12.96152400970459,77.6444320678711,7.4964599609375,13.2831392288208,1.455822467803955,1838,865382,78463003,770083,
2015-04-04,,292.0,,,,12.901132583618164,77.59001159667969,12.961502075195312,77.64437103271484,2.794255256652832,8.50195598602295,0.7596437335014343,1839,,80806215,1041891,
2015-04-05,,,,,,12.966631889343262,77.635986328125,12.970307350158691,77.64806365966797,4.695350646972656,7.063482284545898,1.4873056411743164,7447,,73630591,4263944,60068
2015-04-06,,,,,,12.903020858764648,77.59041595458984,12.903204917907715,77.590576171875,,,,785,,86400000,,
2015-04-07,,,,,,,,,,,,,812,,28172551,342602,
2015-04-08,,,,,,,,,,,,,1201,,73866152,,
2015-04-09,,,,,,,,,,,,,408,,86400000,,
2015-04-10,,-9.0,90.44552612304688,157.8947296142578,50.44606018066406,,,,,,,,11372,5346178,69256697,1193450,
2015-04-11,,,,,,12.928744316101074,77.61921691894531,12.933942794799805,77.62320709228516,2.3012070655822754,4.707407474517822,1.2970255613327026,2509,,80545980,59810,
2015-04-12,,,50.42017364501953,50.42017364501953,50.42017364501953,,,,,,,,2522,,64761539,1703526,
2015-04-13,,-3.0,,,,,,,,,,,7117,2598056,76081959,909669,
2015-04-14,,-3.0,90.90909576416016,90.90909576416016,90.90909576416016,,,,,,,,1653,1109774,85214933,,
2015-04-15,,,57.312339782714844,61.224483489990234,50.357521057128906,,,,,,,,15614,,86400000,,
2015-04-16,,-3.0,54.549964904785156,55.045867919921875,54.05405807495117,,,,,,,,4653,,86400000,,
2015-04-17,,,124.91686248779297,219.51382446289062,58.25242614746094,,,,,,,,435,,83512366,,
2015-04-18,,,74.4206771850586,88.23529052734375,60.60606002807617,,,,,,,,1909,,86400000,,
2015-04-19,,-3.0,,,,,,,,,,,1166,,85229824,,
2015-04-20,,,70.47917175292969,162.17784118652344,50.85161209106445,12.903124809265137,77.59037780761719,12.903124809265137,77.59037780761719,,,,9342,,86400000,,
2015-04-21,,,,,,,,,,,,,7458,,81097881,3499530,
2015-04-22,,,,,,,,,,,,,132,,86400000,,
2015-04-23,,,,,,,,,,,,,4758,,86400000,,
2015-04-24,,,,,,12.902708053588867,77.58968353271484,12.9032621383667,77.5907211303711,,,,4164,,82203021,,
2015-04-25,,,,,,,,,,,,,5585,,77773761,547157,
2015-04-26,,,,,,,,,,,,,4784,,86400000,,
2015-04-27,,109.013671875,,,,12.9028902053833,77.54106903076172,12.99112319946289,77.63211059570312,2.77140736579895,17.32858657836914,0.6353649497032166,1550,,76407340,633951,
2015-04-28,,,,,,,,,,,,,8673,833070,83548436,,
2015-04-29,,,,,,,,,,,,,9958,,86400000,,
2015-04-30,,,,,,,,,,,,,5313,,86400000,,
2015-05-01,,,,,,,,,,,,,2941,,83890008,,
2015-05-02,,,,,,,,,,,,,3910,,85801830,116896,
2015-05-03,,,,,,,,,,,,,11704,,86400000,,
2015-05-04,,,,,,,,,,,,,10738,,51203202,,
2015-05-05,,,,,,,,,,,,,2427,,,,
2015-05-06,,,,,,,,,,,,,1063,,,,
2015-05-07,,,,,,,,,,,,,4837,,,,
2015-05-08,,,,,,,,,,,,,2987,,,,
2015-05-09,,,,,,12.903154373168945,77.59049987792969,12.903154373168945,77.59049987792969,,,,952,,45871022,,
2015-05-10,,,,,,,,,,,,,4506,,86400000,,
2015-05-11,,,,,,,,,,,,,9280,,86400000,,
2015-05-12,,,,,,,,,,,,,4902,,86400000,,
2015-05-13,,,,,,,,,,,,,1677,,86400000,,
2015-05-14,,,,,,,,,,,,,6253,,86400000,,
2015-05-15,,,,,,,,,,,,,354,,86400000,,
2015-05-16,,,,,,,,,,,,,7569,,86400000,,
2015-05-17,,,,,,,,,,,,,4516,,86400000,,
2015-05-18,,,,,,,,,,,,,4211,,86400000,,
2015-05-19,,,,,,,,,,,,,7779,,86400000,,
2015-05-20,,,,,,,,,,,,,6779,,86400000,,
2015-05-21,,,,,,,,,,,,,7379,,86400000,,
2015-05-22,,,,,,,,,,,,,4888,,86400000,,
2015-05-23,,335.29632568359375,,,,12.891450881958008,77.58094787597656,12.928738594055176,77.59076690673828,0.7761093378067017,2.015698194503784,0.5081731081008911,6849,,76361715,2638863,
2015-05-24,,,,,,,,,,,,,1399,,86400000,,
2015-05-25,,,,,,,,,,,,,3411,,86400000,,
2015-05-26,,,,,,,,,,,,,836,,76490054,,
2015-05-27,,,,,,,,,,,,,2495,,17575592,,
2015-05-28,,,,,,,,,,,,,1623,,,,
2015-05-29,,,,,,,,,,,,,5655,,,,
2015-05-30,,,,,,,,,,,,,1932,,,,
2015-05-31,,,,,,,,,,,,,1468,,,,
2015-06-01,,,,,,,,,,,,,4023,,,,
2015-06-02,,,,,,,,,,,,,5057,,,,
2015-06-03,,,,,,,,,,,,,6652,,47858225,,
2015-06-04,,,,,,,,,,,,,6827,,86400000,,
2015-06-05,,,,,,,,,,,,,9213,,86400000,,
2015-06-06,,152.82293701171875,,,,12.902803421020508,77.57689666748047,12.927536964416504,77.59071350097656,3.6236789226531982,12.933302879333496,0.6671290993690491,8701,1452608,74099150,2137652,
2015-06-07,,,,,,,,,,,,,8415,,23076267,198379,
2015-06-08,,,,,,,,,,,,,2087,,,,
2015-06-09,,,,,,,,,,,,,8629,,41745673,,
2015-06-10,,,,,,,,,,,,,4945,,86400000,,
2015-06-11,,,,,,,,,,,,,3823,,86400000,,
2015-06-12,,,,,,,,,,,,,3948,,86400000,,
2015-06-13,,,,,,,,,,,,,3639,,86400000,,
2015-06-14,,71.04225158691406,,,,12.865306854248047,77.56604766845703,12.90650749206543,77.59049987792969,5.014703750610352,12.484593391418457,0.5400531888008118,2753,,77727008,453363,
2015-06-15,,,,,,12.903851509094238,77.63006591796875,12.933964729309082,77.6466293334961,2.2609918117523193,18.806013107299805,0.5264344811439514,4649,505240,68045686,2624368,
2015-06-16,,,,,,12.903033256530762,77.59050750732422,12.903033256530762,77.59050750732422,,,,2420,,86400000,,
2015-06-17,,,,,,,,,,,,,7263,,86400000,,
2015-06-18,,,,,,12.903057098388672,77.59046936035156,12.903057098388672,77.59046936035156,,,,3118,,86400000,,
2015-06-19,,,,,,12.902952194213867,77.58668518066406,12.911537170410156,77.5916976928711,1.0117112398147583,1.1522513628005981,0.8711711168289185,4843,,86400000,,
2015-06-20,,,,,,,,,,,,,11254,,86400000,,
2015-06-21,,16.987274169921875,,,,12.903010368347168,77.56063842773438,12.929518699645996,77.59053802490234,5.704222679138184,14.446045875549316,0.5013535618782043,3501,,40812923,747746,
2015-06-22,,,,,,,,,,,,,2937,,,,
2015-06-23,,,,,,,,,,,,,5029,,,,
2015-06-24,,,,,,,,,,,,,4618,,,,
2015-06-25,,,,,,,,,,,,,8698,,,,
2015-06-26,,,,,,,,,,,,,5247,,,,
2015-06-27,,,,,,,,,,,,,4292,,86400000,,
2015-06-28,,,,,,,,,,,,,3422,,86400000,,
2015-06-29,,,,,,,,,,,,,3185,,86400000,,
2015-06-30,,,,,,,,,,,,,5584,,86400000,,
2015-07-01,,,,,,,,,,,,,4677,,86400000,,
2015-07-02,,,,,,,,,,,,,1343,,86400000,,
2015-07-03,,528.3281860351562,,,,12.888679504394531,77.57947540283203,12.903200149536133,77.59085845947266,,,,9723,,54804126,3852930,
2015-07-04,,,,,,,,,,,,,2532,,63761246,,
2015-07-05,,,,,,12.902846336364746,77.57786560058594,12.920466423034668,77.59050750732422,2.9672341346740723,9.937362670898438,0.5539852380752563,3105,,77793353,275873,
2015-07-06,,,,,,12.903077125549316,77.59044647216797,12.90310287475586,77.59050750732422,,,,3266,,86311978,,
2015-07-07,,,,,,,,,,,,,2057,,86400000,,
2015-07-08,,,,,,,,,,,,,5262,,86400000,,
2015-07-09,,,,,,,,,,,,,5280,,86400000,,
2015-07-10,,,,,,,,,,,,,5876,,86400000,,
2015-07-11,,4842.001953125,,,,12.973103523254395,77.6165542602539,12.973466873168945,77.61710357666016,2.063021659851074,5.840015888214111,0.5882392525672913,9020,4468974,78128356,1224219,
2015-07-12,,,,,,12.902989387512207,77.59039306640625,12.903121948242188,77.59056854248047,,,,368,,86400000,,
2015-07-13,,228.49261474609375,,,,12.902753829956055,77.58702087402344,12.966796875,77.64520263671875,3.007601499557495,14.734612464904785,0.5163476467132568,2754,,77519161,391577,
2015-07-14,,,,,,,,,,,,,3566,1501942,75318577,1727253,
2015-07-15,,,,,,,,,,,,,846,829334,82388975,31011,
2015-07-16,,,,,,,,,,,,,7007,,81972001,115584,
2015-07-17,,,,,,,,,,,,,5355,,73348171,672764,
2015-07-18,,,,,,,,,,,,,3742,,86400000,,
2015-07-19,,,,,,,,,,,,,2088,,86400000,,
2015-07-20,,,,,,,,,,,,,5503,,86400000,,
2015-07-21,,,,,,12.903029441833496,77.59041595458984,12.90312385559082,77.59053802490234,,,,2516,,82760804,227689,
2015-07-22,,,,,,,,,,,,,2163,,84181267,,
2015-07-23,,,,,,,,,,,,,4776,,86400000,,
2015-07-24,,,,,,,,,,,,,4366,,86400000,,
2015-07-25,,,,,,,,,,,,,3995,,86400000,,
2015-07-26,,,,,,,,,,,,,1797,,86400000,,
2015-07-27,,,,,,,,,,,,,5020,,85834484,,
2015-07-28,,,,,,,,,,,,,4260,,70270033,3297826,
2015-07-29,,,,,,,,,,,,,14200,,84969566,223781,
2015-07-30,,,,,,,,,,,,,4288,,86400000,,
2015-07-31,,,,,,,,,,,,,9202,,86164245,,
2015-08-01,,,,,,,,,,,,,4292,,86400000,,
2015-08-02,,,,,,,,,,,,,11510,,86400000,,
2015-08-03,,,,,,12.903059959411621,77.59046936035156,12.937231063842773,77.62772369384766,4.16283655166626,8.548118591308594,0.5140921473503113,3851,1651848,79009694,1750567,
2015-08-04,,1740.0,,,,12.901154518127441,77.58173370361328,12.936366081237793,77.61589050292969,1.2394365072250366,8.345879554748535,0.664168655872345,12870,1745592,71008673,6678529,
2015-08-05,,,,,,,,,,,,,3422,,73136442,2366246,
2015-08-06,,,,,,,,,,,,,2015,,86400000,,
2015-08-07,,,,,,,,,,,,,7679,,86400000,,
2015-08-08,,,,,,,,,,,,,508,,86400000,,
2015-08-09,,,,,,,,,,,,,1043,,86400000,,
2015-08-10,,,,,,12.902957916259766,77.57286834716797,12.914713859558105,77.59204864501953,3.25435733795166,7.629548072814941,0.5155978798866272,3577,,78438903,1331092,
2015-08-11,,,,,,,,,,,,,4889,,24375351,,
2015-08-12,,,,,,,,,,,,,487,,,,
2015-08-13,,,,,,,,,,,,,1531,,30794193,,
2015-08-14,,,,,,,,,,,,,2403,,86400000,,
2015-08-15,,,,,,,,,,,,,1865,,86400000,,
2015-08-16,,,,,,,,,,,,,5942,,86400000,,
2015-08-17,,,,,,12.901060104370117,77.5902328491211,12.906821250915527,77.59837341308594,,,,2483,2587224,69330578,821380,
2015-08-18,,,,,,8.476996421813965,76.91850280761719,13.201553344726562,77.70893096923828,5.064606666564941,18.640878677368164,0.5936857461929321,1728,1740683,61432583,1478140,
2015-08-19,,,,,,9.383126258850098,76.36773681640625,9.3833646774292,76.36785888671875,,,,3595,,61050350,1641306,
2015-08-20,,,,,,,,,,,,,14726,,67625914,275765,
2015-08-21,,,,,,8.188339233398438,76.9952621459961,8.460573196411133,77.40713500976562,7.380533695220947,16.788850784301758,0.7779502272605896,13796,,68306700,4961858,
2015-08-22,,,,,,,,,,,,,12419,,85542784,,
2015-08-23,,,,,,13.198932647705078,77.70720672607422,13.200098037719727,77.70972442626953,0.7943259477615356,0.7943259477615356,0.7943259477615356,13452,,61567478,3683771,
2015-08-24,,,,,,,,,,,,,646,,70696037,,
2015-08-25,,,,,,,,,,,,,4447,1219632,82853492,102977,
2015-08-26,,433.1638488769531,,,,12.903091430664062,77.10462951660156,28.60413932800293,77.70957946777344,1.8463674783706665,13.938515663146973,0.5342145562171936,5402,1071176,62903561,1667739,
2015-08-27,,130.08206176757812,,,,13.010470390319824,77.5838851928711,13.203797340393066,77.71855163574219,1.5324642658233643,5.160043239593506,0.5837583541870117,5757,,8692006,617017,
2015-08-28,,,,,,12.903084754943848,77.59041595458984,12.9031400680542,77.5904769897461,,,,377,,32870389,,
2015-08-29,,,,,,,,,,,,,286,,86400000,,
2015-08-30,,,,,,,,,,,,,2174,,84256944,43779,
2015-08-31,,,,,,12.903092384338379,77.59041595458984,12.903144836425781,77.59046936035156,,,,863,,78602451,94162,
2015-09-01,,,,,,,,,,,,,436,998375,78380570,,
2015-09-02,,,,,,,,,,,,,2720,,81917682,565188,
2015-09-03,,,,,,,,,,,,,7202,1108969,69935980,3628929,
2015-09-04,,,,,,,,,,,,,4351,516497,61920302,1835307,
2015-09-05,,,,,,,,,,,,,6721,1223956,76172040,4302320,
2015-09-06,,6.3720316886901855,,,,12.901127815246582,77.58895874023438,12.90330696105957,77.59168243408203,1.2839330434799194,1.8238290548324585,0.5572718381881714,4880,1363308,77200238,2271463,
2015-09-07,,,,,,,,,,,,,1323,,81487793,835303,
2015-09-08,,,,,,,,,,,,,7671,,69870293,4186083,
2015-09-09,,,,,,12.927285194396973,77.59751892089844,12.966531753540039,77.60540008544922,3.518442153930664,9.03759479522705,0.9326626658439636,4373,,63613245,1872619,
2015-09-10,,,,,,,,,,,,,2538,,75867880,1367872,
2015-09-11,,,,,,,,,,,,,5543,661580,73692135,2825801,
2015-09-12,,,,,,,,,,,,,3667,,68095226,1882157,
2015-09-13,,,,,,,,,,,,,5277,,72399750,2882514,
2015-09-14,,524.0,,,,12.900333404541016,77.59025573730469,12.982325553894043,77.60687255859375,1.2362161874771118,14.83230209350586,0.5186548829078674,7450,1381953,61194805,5149888,
2015-09-15,,,,,,,,,,,,,8493,2987391,67496374,5526402,
2015-09-16,,,,,,,,,,,,,5884,644765,74801944,3843547,
2015-09-17,,,,,,,,,,,,,3015,3220057,77622779,2148753,
2015-09-18,,,,,,,,,,,,,3808,,78703622,1885221,
2015-09-19,,,,,,,,,,,,,9286,,72442744,6233350,
2015-09-20,,,,,,,,,,,,,1602,,86012734,,
2015-09-21,,,,,,,,,,,,,7314,,86400000,,
2015-09-22,,,,,,,,,,,,,8996,,86400000,,
